season,Player,Nation,Pos,Age,90s,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,xG,npxG,xA,xG_90,xA_90,xG+xA_90,npxG_90,DB_clusters
2017,Mohamed Salah,eg EGY,FW,25,32.3,32.0,10.0,31.0,1.0,1.0,0.0,0.99,0.31,1.3,0.96,24.4,22.9,9.0,0.76,0.28,1.03,0.71,-1
2017,Roberto Firmino,br BRA,FW,25,30.7,15.0,7.0,14.0,1.0,1.0,0.0,0.49,0.23,0.72,0.46,12.1,11.4,5.4,0.4,0.18,0.57,0.37,1
2017,Sadio Mané,sn SEN,FW,25,24.3,10.0,7.0,10.0,0.0,3.0,1.0,0.41,0.29,0.7,0.41,10.4,10.4,4.9,0.43,0.2,0.63,0.43,-1
2017,Georginio Wijnaldum,nl NED,MF,26,26.5,1.0,2.0,1.0,0.0,1.0,0.0,0.04,0.08,0.11,0.04,2.5,2.5,1.5,0.1,0.06,0.15,0.1,0
2017,Jordan Henderson,eng ENG,MF,27,24.1,1.0,1.0,1.0,0.0,1.0,0.0,0.04,0.04,0.08,0.04,1.0,0.8,1.8,0.04,0.07,0.11,0.03,0
2017,Dejan Lovren,hr CRO,DF,28,23.6,2.0,1.0,2.0,0.0,4.0,0.0,0.08,0.04,0.13,0.08,1.5,1.5,0.3,0.06,0.01,0.08,0.06,0
2017,Emre Can,de GER,MF,23,23.2,3.0,4.0,3.0,0.0,8.0,0.0,0.13,0.17,0.3,0.13,1.6,1.6,2.9,0.07,0.13,0.19,0.07,0
2017,Joël Matip,cm CMR,DF,25,22.2,1.0,0.0,1.0,0.0,3.0,0.0,0.05,0.0,0.05,0.05,1.7,1.7,0.5,0.08,0.02,0.1,0.08,0
2017,Andrew Robertson,sct SCO,DF,23,21.6,1.0,5.0,1.0,0.0,2.0,0.0,0.05,0.23,0.28,0.05,0.6,0.6,3.3,0.03,0.15,0.18,0.03,0
2017,Joe Gomez,eng ENG,DF,20,21.1,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.09,0.09,0.0,0.3,0.3,1.0,0.02,0.05,0.06,0.02,0
2017,Loris Karius,de GER,GK,24,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2017,Simon Mignolet,be BEL,GK,29,19.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2017,Trent Alexander-Arnold,eng ENG,DF,18,17.5,1.0,1.0,1.0,0.0,3.0,0.0,0.06,0.06,0.11,0.06,1.2,1.2,2.2,0.07,0.13,0.2,0.07,0
2017,James Milner,eng ENG,MF,31,19.7,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.15,0.15,0.0,1.1,1.1,3.5,0.06,0.18,0.23,0.06,0
2017,Ragnar Klavan,ee EST,DF,31,16.1,1.0,0.0,1.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.7,0.7,0.1,0.04,0.01,0.05,0.04,0
2017,Alex Oxlade-Chamberlain,eng ENG,MF,23,16.6,3.0,7.0,3.0,0.0,3.0,0.0,0.18,0.42,0.6,0.18,2.4,2.4,4.1,0.15,0.25,0.39,0.15,0
2017,Alberto Moreno,es ESP,DF,25,14.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8,0.03,0.06,0.09,0.03,0
2017,Virgil van Dijk,nl NED,DF,26,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.8,0.08,0.05,0.14,0.08,0
2017,Philippe Coutinho,br BRA,MF,25,12.3,7.0,6.0,7.0,0.0,0.0,0.0,0.57,0.49,1.06,0.57,2.6,2.6,4.2,0.21,0.34,0.56,0.21,0
2017,Dominic Solanke,eng ENG,FW,19,6.6,1.0,1.0,1.0,0.0,0.0,0.0,0.15,0.15,0.3,0.15,2.9,2.9,2.1,0.44,0.32,0.76,0.44,0
2017,Daniel Sturridge,eng ENG,FW,27,4.8,2.0,1.0,2.0,0.0,0.0,0.0,0.42,0.21,0.63,0.42,2.6,2.6,0.9,0.54,0.19,0.74,0.54,0
2017,Danny Ings,eng ENG,FW,25,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,1.5,1.5,0.2,0.49,0.06,0.54,0.49,0
2017,Nathaniel Clyne,eng ENG,DF,26,1.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.04,0.07,0.11,0.04,0
2017,Adam Lallana,eng ENG,MF,29,3.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.4,0.51,0.14,0.65,0.51,0
2017,Marko Grujić,rs SRB,MF,21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0
2017,Divock Origi,be BEL,FW,22,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2017,Ben Woodburn,wls WAL,MF,17,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,Alisson,br BRA,GK,25,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,Virgil van Dijk,nl NED,DF,27,37.6,4.0,2.0,4.0,0.0,1.0,0.0,0.11,0.05,0.16,0.11,3.1,3.1,1.2,0.08,0.03,0.11,0.08,0
2018,Mohamed Salah,eg EGY,FW,26,36.1,22.0,8.0,19.0,3.0,1.0,0.0,0.61,0.22,0.83,0.53,18.8,16.5,9.1,0.52,0.25,0.77,0.46,-1
2018,Andrew Robertson,sct SCO,DF,24,35.7,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.31,0.31,0.0,0.9,0.9,7.3,0.03,0.21,0.23,0.03,0
