Season,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,DB_clusters
2017,Mohamed Salah,eg EGY,FW,25,32.3,32,142,65,45.8,4.4,2.01,0.22,0.48,15.0,4,1,2,24.4,22.9,0.16,7.6,8.1,-1
2017,Roberto Firmino,br BRA,FW,25,30.7,15,84,37,44.0,2.74,1.21,0.17,0.38,16.5,0,1,1,12.1,11.4,0.14,2.9,2.6,-1
2017,Sadio Mané,sn SEN,FW,25,24.3,10,70,26,37.1,2.88,1.07,0.14,0.38,14.7,0,0,0,10.4,10.4,0.15,-0.4,-0.4,-1
2017,Georginio Wijnaldum,nl NED,MF,26,26.5,1,38,8,21.1,1.43,0.3,0.03,0.13,18.3,1,0,0,2.5,2.5,0.07,-1.5,-1.5,0
2017,Jordan Henderson,eng ENG,MF,27,24.1,1,15,3,20.0,0.62,0.12,0.07,0.33,22.5,1,0,0,1.0,0.8,0.05,0.0,0.2,0
2017,Dejan Lovren,hr CRO,DF,28,23.6,2,14,4,28.6,0.59,0.17,0.14,0.5,8.2,0,0,0,1.5,1.5,0.11,0.5,0.5,0
2017,Emre Can,de GER,MF,23,23.2,3,27,8,29.6,1.16,0.34,0.11,0.38,20.1,1,0,0,1.6,1.6,0.06,1.4,1.4,0
2017,Joël Matip,cm CMR,DF,25,22.2,1,12,2,16.7,0.54,0.09,0.08,0.5,10.2,0,0,0,1.7,1.7,0.14,-0.7,-0.7,0
2017,Andrew Robertson,sct SCO,DF,23,21.6,1,11,2,18.2,0.51,0.09,0.09,0.5,19.8,0,0,0,0.6,0.6,0.06,0.4,0.4,0
2017,Joe Gomez,eng ENG,DF,20,21.1,0,5,0,0.0,0.24,0.0,0.0,0.0,21.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3,0
2017,Loris Karius,de GER,GK,24,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
