Season,Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Drb_Tkl,Att,Tkl%,Past,Press,Succ,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,DB_clusters
2017,Mohamed Salah,eg EGY,FW,25,32.3,15,13,3,5,7,5,18,27.8,13,429,129,30.1,60,167,202,17,0,0,17,13,28,3,0,0
2017,Roberto Firmino,br BRA,FW,25,30.7,62,48,12,35,15,10,46,21.7,36,730,230,31.5,48,373,309,41,2,1,39,25,87,10,0,-1
2017,Sadio Mané,sn SEN,FW,25,24.3,33,25,9,15,9,9,27,33.3,18,334,111,33.2,65,136,133,14,1,0,13,19,52,6,0,0
2017,Georginio Wijnaldum,nl NED,MF,26,26.5,38,30,16,18,4,11,24,45.8,13,385,129,33.5,121,192,72,22,2,0,20,42,80,28,0,0
2017,Jordan Henderson,eng ENG,MF,27,24.1,48,32,15,26,7,12,49,24.5,37,457,146,31.9,122,275,60,44,1,0,43,38,86,55,0,1
2017,Dejan Lovren,hr CRO,DF,28,23.6,32,17,17,12,3,14,26,53.8,12,162,70,43.2,98,57,7,32,15,0,17,52,84,215,3,-1
2017,Emre Can,de GER,MF,23,23.2,73,49,32,31,10,12,40,30.0,28,443,145,32.7,129,252,62,48,4,0,44,36,109,58,1,-1
2017,Joël Matip,cm CMR,DF,25,22.2,41,26,29,12,0,10,20,50.0,10,206,82,39.8,106,87,13,38,15,1,23,37,78,151,2,-1
2017,Andrew Robertson,sct SCO,DF,23,21.6,48,24,30,13,5,24,43,55.8,19,313,107,34.2,131,110,72,26,4,0,22,24,72,68,0,0
2017,Joe Gomez,eng ENG,DF,20,21.1,57,28,33,20,4,15,35,42.9,20,297,97,32.7,147,133,17,30,9,0,21,48,105,74,1,-1
2017,Loris Karius,de GER,GK,24,19.0,0,0,0,0,0,0,0,0.0,0,2,0,0.0,2,0,0,0,0,0,0,0,0,2,0,-1
2017,Simon Mignolet,be BEL,GK,29,19.0,0,0,0,0,0,0,2,0.0,2,5,0,0.0,5,0,0,0,0,0,0,1,1,1,3,-1
2017,Trent Alexander-Arnold,eng ENG,DF,18,17.5,39,22,26,8,5,21,44,47.7,23,237,84,35.4,101,90,46,30,6,0,24,53,92,42,0,-1
2017,James Milner,eng ENG,MF,31,19.7,64,35,19,31,14,25,65,38.5,40,399,134,33.6,88,221,90,28,7,0,21,24,88,31,0,-1
2017,Ragnar Klavan,ee EST,DF,31,16.1,24,15,10,13,1,8,18,44.4,10,134,64,47.8,65,62,7,16,6,0,10,20,44,87,0,-1
2017,Alex Oxlade-Chamberlain,eng ENG,MF,23,16.6,36,23,12,19,5,8,31,25.8,23,336,96,28.6,67,192,77,35,0,0,35,20,56,15,0,0
