season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG,npxG,xA,npxG+xA,xG_90,xA_90,xG+xA_90,npxG_90,npxG+xA_90
2017,Mohamed Salah,eg EGY,FW,25,36,34,2907,32.3,32,10,31,1,2,1,0,0.99,0.31,1.3,0.96,1.27,24.4,22.9,9,31.9,0.76,0.28,1.03,0.71,0.99
2017,Roberto Firmino,br BRA,FW,25,37,32,2763,30.7,15,7,14,1,1,1,0,0.49,0.23,0.72,0.46,0.68,12.1,11.4,5.4,16.7,0.4,0.18,0.57,0.37,0.55
2017,Sadio Mané,sn SEN,FW,25,29,28,2190,24.3,10,7,10,0,0,3,1,0.41,0.29,0.7,0.41,0.7,10.4,10.4,4.9,15.3,0.43,0.2,0.63,0.43,0.63
2017,Georginio Wijnaldum,nl NED,MF,26,33,27,2387,26.5,1,2,1,0,0,1,0,0.04,0.08,0.11,0.04,0.11,2.5,2.5,1.5,4,0.1,0.06,0.15,0.1,0.15
2017,Jordan Henderson,eng ENG,MF,27,27,25,2171,24.1,1,1,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,1,0.8,1.8,2.6,0.04,0.07,0.11,0.03,0.11
2017,Dejan Lovren,hr CRO,DF,28,29,24,2127,23.6,2,1,2,0,0,4,0,0.08,0.04,0.13,0.08,0.13,1.5,1.5,0.3,1.9,0.06,0.01,0.08,0.06,0.08
2017,Emre Can,de GER,MF,23,26,24,2091,23.2,3,4,3,0,0,8,0,0.13,0.17,0.3,0.13,0.3,1.6,1.6,2.9,4.5,0.07,0.13,0.19,0.07,0.19
2017,Joël Matip,cm CMR,DF,25,25,22,1997,22.2,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,1.7,1.7,0.5,2.1,0.08,0.02,0.1,0.08,0.1
2017,Andrew Robertson,sct SCO,DF,23,22,22,1940,21.6,1,5,1,0,0,2,0,0.05,0.23,0.28,0.05,0.28,0.6,0.6,3.3,3.9,0.03,0.15,0.18,0.03,0.18
2017,Joe Gomez,eng ENG,DF,20,23,21,1902,21.1,0,2,0,0,0,3,0,0,0.09,0.09,0,0.09,0.3,0.3,1,1.3,0.02,0.05,0.06,0.02,0.06
2017,Loris Karius,de GER,GK,24,19,19,1710,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Simon Mignolet,be BEL,GK,29,19,19,1710,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
