Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
Mohamed Salah\e342ad68,eg EGY,FW,25,32.3,1038,944,94,12,6,210,38,50,61,37,11,3,700,166,172,844,125,27,18,9,770,4,13,55,35,Matches
Roberto Firmino\4c370d81,br BRA,FW,25,30.7,1217,1161,56,4,8,291,10,48,1,0,0,1,901,192,124,186,901,58,15,21,888,4,18,85,57,Matches
Sadio Mané\c691bfe2,sn SEN,FWMF,25,24.3,983,971,12,3,4,200,19,44,1,0,0,0,752,125,106,209,697,34,8,11,774,2,8,42,32,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,26,26.5,1266,1241,25,11,1,189,27,5,1,0,0,0,1051,100,115,165,1042,33,6,8,1144,7,8,24,9,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,27,24.1,2058,2008,50,41,6,184,70,16,5,1,2,1,1458,198,402,257,1693,86,4,2,1757,3,34,40,18,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,28,23.6,1729,1685,44,39,0,111,35,3,0,0,0,0,1401,127,201,328,1266,72,5,5,1576,1,16,13,5,Matches
Emre Can\a65ce836,de GER,MF,23,23.2,1535,1511,24,8,6,274,40,6,0,0,0,0,1162,158,215,311,1096,66,16,9,1327,4,24,37,17,Matches
Joël Matip\b217ef29,cm CMR,DF,25,22.2,1617,1584,33,31,1,92,30,1,0,0,0,0,1325,127,165,135,1399,57,2,6,1461,3,16,24,4,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,23,21.6,1667,1483,184,11,2,149,27,56,2,1,0,0,1162,269,236,1282,133,63,171,3,1408,2,24,22,47,Matches
Joe Gomez\7a11550b,eng ENG,DF,20,21.1,1587,1333,254,16,0,138,22,33,0,0,0,0,1063,256,268,68,1202,56,238,1,1316,0,26,47,24,Matches
Loris Karius\32e7ce92,de GER,GK,24,19,620,482,138,36,0,29,7,0,0,0,0,0,347,35,238,53,440,1,0,109,445,2,4,4,2,Matches
Simon Mignolet\d436eb94,be BEL,GK,29,19,602,456,146,46,0,31,4,0,0,0,0,0,353,34,215,34,449,1,0,97,450,1,7,4,1,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,18,17.5,1282,1062,220,15,2,125,36,62,11,6,5,0,689,250,343,83,965,34,194,1,959,4,44,37,35,Matches
James Milner\2f90f6b8,eng ENG,MF,31,19.7,1611,1481,130,31,3,178,74,64,60,23,20,4,1187,147,277,131,1404,27,27,2,1324,6,28,43,38,Matches
Ragnar Klavan\008a6e6d,ee EST,DF,31,16.1,1195,1158,37,20,1,77,22,2,0,0,0,0,1004,81,110,949,159,39,17,4,1094,3,14,8,8,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,23,16.6,785,735,50,9,2,126,47,40,32,17,12,2,509,101,175,83,657,23,9,3,602,4,14,23,17,Matches
Alberto Moreno\11b9265b,es ESP,DF,25,14.1,956,806,150,17,0,90,21,35,3,2,1,0,605,184,167,756,32,32,130,0,790,0,18,27,22,Matches
Virgil van Dijk\e06683ca,nl NED,DF,26,14,1069,1046,23,21,1,84,49,1,0,0,0,0,867,92,110,137,842,56,2,2,996,1,14,8,3,Matches
Philippe Coutinho\0ef89a37,br BRA,MFFW,25,12.3,755,681,74,19,5,99,38,19,52,15,23,5,501,87,167,56,678,15,1,3,561,8,6,39,21,Matches
Dominic Solanke\e77dc3b2,eng ENG,FW,19,6.6,195,188,7,0,2,56,0,1,0,0,0,0,137,34,24,26,136,10,0,4,150,1,1,5,11,Matches
Daniel Sturridge\1b7ec703,eng ENG,FW,27,4.8,121,114,7,1,0,24,1,2,0,0,0,0,99,13,9,85,27,3,0,3,96,1,0,6,5,Matches
Danny Ings\07802f7f,eng ENG,FWMF,25,3,76,73,3,1,0,10,1,2,0,0,0,0,51,14,11,5,63,2,1,0,51,0,1,7,7,Matches
Nathaniel Clyne\0442183b,eng ENG,DFFW,26,1.9,138,109,29,0,0,13,0,7,0,0,0,0,82,31,25,7,93,7,29,0,111,0,2,5,4,Matches
Adam Lallana\99813635,eng ENG,MFFW,29,3.4,223,219,4,2,1,41,3,6,1,1,0,0,180,26,17,70,146,1,1,2,192,0,2,8,6,Matches
Marko Grujić\8b8e759d,rs SRB,MF,21,0.2,14,14,0,0,0,4,0,0,0,0,0,0,12,0,2,4,9,1,0,0,11,0,1,0,0,Matches
Divock Origi\43a166b4,be BEL,FW,22,0.1,2,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,Matches
Ben Woodburn\8aadeaef,wls WAL,MF,17,0.1,8,8,0,0,0,4,0,0,0,0,0,0,7,1,0,0,8,0,0,0,7,0,0,0,1,Matches
Squad Total,,,25.6,38,24349,22554,1795,394,51,2830,621,503,230,103,74,16,17607,2848,3894,6264,15664,804,894,305,20261,61,343,613,430,
Opponent Total,,,27.1,38,16050,14221,1829,395,26,2720,463,351,126,59,38,9,9362,2484,4204,4384,9194,801,786,257,11809,95,398,498,416,
