Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-08-12,13:30,Matchweek 1,Sun,Home,W,4,0,West Ham,5.1,0.9,64,53235,James Milner,4-3-2003,Anthony Taylor,Match Report,
2018-08-20,20:00,Matchweek 2,Mon,Away,W,2,0,Crystal Palace,2.8,0.3,63,25750,James Milner,4-3-2003,Michael Oliver,Match Report,
2018-08-25,17:30,Matchweek 3,Sat,Home,W,1,0,Brighton,1.4,0.4,69,53294,James Milner,4-3-2003,Chris Kavanagh,Match Report,
2018-09-01,12:30,Matchweek 4,Sat,Away,W,2,1,Leicester City,1.2,1.1,48,32149,Jordan Henderson,4-3-2003,Paul Tierney,Match Report,
2018-09-15,12:30,Matchweek 5,Sat,Away,W,2,1,Tottenham,2.5,1.4,40,80188,James Milner,4-3-2003,Michael Oliver,Match Report,
2018-09-22,15:00,Matchweek 6,Sat,Home,W,3,0,Southampton,2.2,0.8,61,50965,Jordan Henderson,4-2-3-1,Paul Tierney,Match Report,
2018-09-29,17:30,Matchweek 7,Sat,Away,D,1,1,Chelsea,1.5,1.8,53,40625,Jordan Henderson,4-3-2003,Andre Marriner,Match Report,
2018-10-07,16:30,Matchweek 8,Sun,Home,D,0,0,Manchester City,0.4,1.2,49,52117,Jordan Henderson,4-3-2003,Martin Atkinson,Match Report,
2018-10-20,17:30,Matchweek 9,Sat,Away,W,1,0,Huddersfield,0.7,0.9,53,24263,Jordan Henderson,4-3-2003,Michael Oliver,Match Report,
2018-10-27,15:00,Matchweek 10,Sat,Home,W,4,1,Cardiff City,2.1,0.6,78,53373,Virgil van Dijk,4-2-3-1,Stuart Attwell,Match Report,
2018-11-03,17:30,Matchweek 11,Sat,Away,D,1,1,Arsenal,1.5,1.4,38,59993,James Milner,4-1-4-1,Andre Marriner,Match Report,
2018-11-11,12:00,Matchweek 12,Sun,Home,W,2,0,Fulham,2.1,0.5,71,53128,Virgil van Dijk,4-2-3-1,Paul Tierney,Match Report,
2018-11-24,15:00,Matchweek 13,Sat,Away,W,3,0,Watford,0.9,0.4,63,20540,Jordan Henderson,4-2-3-1,Jonathan Moss,Match Report,
2018-12-02,16:15,Matchweek 14,Sun,Home,W,1,0,Everton,2.9,1.3,59,51756,Virgil van Dijk,4-2-3-1,Chris Kavanagh,Match Report,
2018-12-05,19:45,Matchweek 15,Wed,Away,W,3,1,Burnley,2.4,1.2,73,21741,Jordan Henderson,4-4-2002,Stuart Attwell,Match Report,
2018-12-08,12:30,Matchweek 16,Sat,Away,W,4,0,Bournemouth,1.6,0.3,60,10752,James Milner,4-4-2002,Lee Mason,Match Report,
2018-12-16,16:00,Matchweek 17,Sun,Home,W,3,1,Manchester Utd,2.5,0.4,63,52908,Virgil van Dijk,4-4-1-1,Martin Atkinson,Match Report,
2018-12-21,20:00,Matchweek 18,Fri,Away,W,2,0,Wolves,1.6,1.1,61,31358,Jordan Henderson,4-2-3-1,Craig Pawson,Match Report,
2018-12-26,15:00,Matchweek 19,Wed,Home,W,4,0,Newcastle Utd,3,0.5,74,53318,Jordan Henderson,4-2-3-1,Graham Scott,Match Report,
2018-12-29,17:30,Matchweek 20,Sat,Home,W,5,1,Arsenal,4.1,1.2,48,53326,Virgil van Dijk,4-2-3-1,Michael Oliver,Match Report,
2019-01-03,20:00,Matchweek 21,Thu,Away,L,1,2,Manchester City,1.8,0.8,50,54511,Jordan Henderson,4-3-2003,Anthony Taylor,Match Report,
2019-01-12,15:00,Matchweek 22,Sat,Away,W,1,0,Brighton,2,0.3,70,30682,Jordan Henderson,4-2-3-1,Kevin Friend,Match Report,
2019-01-19,15:00,Matchweek 23,Sat,Home,W,4,3,Crystal Palace,2.4,0.5,70,53171,Jordan Henderson,4-2-3-1,Jonathan Moss,Match Report,
2019-01-30,20:00,Matchweek 24,Wed,Home,D,1,1,Leicester City,0.8,0.9,71,53092,Jordan Henderson,4-2-3-1,Martin Atkinson,Match Report,
2019-02-04,20:00,Matchweek 25,Mon,Away,D,1,1,West Ham,1.3,0.9,73,59903,James Milner,4-3-2003,Kevin Friend,Match Report,
2019-02-09,15:00,Matchweek 26,Sat,Home,W,3,0,Bournemouth,2.1,0.3,65,53178,James Milner,4-3-2003,Anthony Taylor,Match Report,
2019-02-24,14:05,Matchweek 27,Sun,Away,D,0,0,Manchester Utd,0.4,0.3,64,74519,Jordan Henderson,4-3-2003,Michael Oliver,Match Report,
2019-02-27,20:00,Matchweek 28,Wed,Home,W,5,0,Watford,1.9,1,60,53316,James Milner,4-3-2003,Graham Scott,Match Report,
2019-03-03,16:15,Matchweek 29,Sun,Away,D,0,0,Everton,1.1,0.5,57,39335,Jordan Henderson,4-3-2003,Martin Atkinson,Match Report,
2019-03-10,12:00,Matchweek 30,Sun,Home,W,4,2,Burnley,4.5,0.3,67,53310,Virgil van Dijk,4-3-2003,Andre Marriner,Match Report,
2019-03-17,14:15,Matchweek 31,Sun,Away,W,2,1,Fulham,2.5,1.1,62,25043,Virgil van Dijk,4-3-2003,Craig Pawson,Match Report,
2019-03-31,16:30,Matchweek 32,Sun,Home,W,2,1,Tottenham,0.9,1.4,49,53322,Jordan Henderson,4-3-2003,Martin Atkinson,Match Report,
2019-04-05,20:00,Matchweek 33,Fri,Away,W,3,1,Southampton,1.6,0.8,67,31797,Virgil van Dijk,4-3-2003,Paul Tierney,Match Report,
2019-04-14,16:30,Matchweek 34,Sun,Home,W,2,0,Chelsea,1.3,0.9,61,53279,Jordan Henderson,4-3-2003,Michael Oliver,Match Report,
2019-04-21,16:00,Matchweek 35,Sun,Away,W,2,0,Cardiff City,3.3,1,76,33082,Jordan Henderson,4-3-2003,Martin Atkinson,Match Report,
2019-04-26,20:00,Matchweek 36,Fri,Home,W,5,0,Huddersfield,2.5,0.1,69,53249,Jordan Henderson,4-3-2003,Kevin Friend,Match Report,
2019-05-04,19:45,Matchweek 37,Sat,Away,W,3,2,Newcastle Utd,1.2,1.4,68,52206,Jordan Henderson,4-3-2003,Andre Marriner,Match Report,
2019-05-12,15:00,Matchweek 38,Sun,Home,W,2,0,Wolves,1.4,0.6,58,53331,Jordan Henderson,4-3-2003,Martin Atkinson,Match Report,
