Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
Alisson\7a2e46a8,br BRA,GK,25,38,0,0,0,0,0,0,1,0,1,5,1,20,5,0,0,0,0,0,0,1,1,1,5,Matches
Virgil van Dijk\e06683ca,nl NED,DF,27,37.6,35,26,28,7,0,14,16,87.5,2,179,68,38,111,59,9,44,22,0,22,52,87,217,0,Matches
Mohamed Salah\e342ad68,eg EGY,FW,26,36.1,14,11,4,2,8,4,22,18.2,18,512,143,27.9,40,195,277,22,1,0,21,8,22,2,0,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,24,35.7,83,47,50,25,8,34,84,40.5,50,454,156,34.4,195,151,108,51,5,0,46,48,131,54,1,Matches
Sadio Mané\c691bfe2,sn SEN,FW,26,34.2,40,23,15,16,9,7,38,18.4,31,570,183,32.1,107,244,219,37,6,0,31,24,64,6,0,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,27,30.3,39,29,15,18,6,13,30,43.3,17,408,145,35.5,138,193,77,29,7,0,22,29,68,24,0,Matches
Roberto Firmino\4c370d81,br BRA,FWMF,26,29,39,30,6,20,13,5,32,15.6,27,622,188,30.2,80,287,255,38,2,0,36,15,54,14,0,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,19,27.4,60,28,29,22,9,28,69,40.6,41,307,97,31.6,138,104,65,37,3,1,34,54,114,72,0,Matches
Fabinho\7f3b388c,br BRA,MF,24,22.4,58,35,19,33,6,20,57,35.1,37,422,126,29.9,131,231,60,38,6,0,32,30,88,44,0,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,28,22.1,48,39,16,28,4,13,39,33.3,26,436,141,32.3,134,229,73,39,4,0,35,39,87,18,0,Matches
James Milner\2f90f6b8,eng ENG,MFDF,32,19.9,49,26,17,26,6,14,49,28.6,35,376,119,31.6,90,178,108,45,5,0,40,27,76,20,0,Matches
Joël Matip\b217ef29,cm CMR,DF,26,17.1,33,21,17,11,5,12,22,54.5,10,167,65,38.9,91,64,12,16,5,0,11,29,62,89,1,Matches
Naby Keïta\f25c8e3a,gn GUI,MFFW,23,15.4,42,24,14,18,10,14,42,33.3,28,396,128,32.3,111,186,99,36,4,0,32,9,51,15,0,Matches
Joe Gomez\7a11550b,eng ENG,DF,21,11.8,20,11,13,7,0,7,14,50,7,97,26,26.8,52,37,8,16,6,0,10,24,44,51,1,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,26,11.8,11,5,3,6,2,3,17,17.6,14,182,50,27.5,29,86,67,9,1,0,8,16,27,5,0,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,29,11,15,8,11,3,1,5,12,41.7,7,86,32,37.2,51,32,3,20,9,0,11,22,37,60,2,Matches
Adam Lallana\99813635,eng ENG,MFFW,30,5.2,14,8,5,6,3,5,12,41.7,7,136,45,33.1,35,60,41,16,0,0,16,5,19,4,0,Matches
Daniel Sturridge\1b7ec703,eng ENG,FWMF,28,5.7,3,2,1,1,1,1,3,33.3,2,55,19,34.5,6,28,21,2,0,0,2,1,4,2,0,Matches
Divock Origi\43a166b4,be BEL,FW,23,4.1,6,4,2,3,1,0,2,0,2,76,23,30.3,15,34,27,3,0,0,3,2,8,1,0,Matches
Alberto Moreno\11b9265b,es ESP,DF,26,1.7,3,1,1,2,0,1,2,50,1,11,1,9.1,6,4,1,3,0,0,3,4,7,2,0,Matches
Nathaniel Clyne\0442183b,eng ENG,DF,27,1.2,4,0,2,2,0,1,3,33.3,2,18,4,22.2,7,3,8,0,0,0,0,3,7,2,0,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,24,0.2,1,0,0,1,0,1,1,100,0,3,0,0,0,2,1,2,0,0,2,0,1,0,0,Matches
Rafael Camacho\91b43c98,pt POR,DF,18,0,1,0,1,0,0,1,1,100,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,26.1,38,618,378,269,257,92,203,568,35.7,365,5518,1760,31.9,1572,2407,1539,503,86,1,417,442,1060,703,10,
Opponent Total,,,26.9,38,723,444,436,229,58,215,628,34.2,413,6165,1719,27.9,2465,2607,1093,680,170,5,510,642,1365,997,12,
