Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
Alisson\7a2e46a8,br BRA,GK,25,38,1347,1142,1338,10,0,0,1051,2,2,100,2,0,754,2857,1541,1,0,0,2,1,677,677,100,0,Matches
Virgil van Dijk\e06683ca,nl NED,DF,27,37.6,3407,271,1531,1916,132,60,3346,7,10,70,8,0,2303,10080,5522,159,23,0,10,3,2488,2427,97.5,32,Matches
Mohamed Salah\e342ad68,eg EGY,FW,26,36.1,1667,7,67,563,1164,311,1583,76,139,54.7,82,10,1323,6461,3991,257,59,63,102,130,2147,1304,60.7,461,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,24,35.7,3109,76,764,1543,1025,100,2780,28,44,63.6,30,3,2142,9615,5945,232,89,21,31,32,2336,2154,92.2,149,Matches
Sadio Mané\c691bfe2,sn SEN,FW,26,34.2,1716,23,143,755,984,219,1699,69,113,61.1,74,6,1324,7753,4139,204,82,49,97,69,1948,1342,68.9,353,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,27,30.3,2033,41,343,1408,418,50,1999,28,47,59.6,30,5,1605,7456,3409,152,38,4,36,45,1702,1542,90.6,66,Matches
Roberto Firmino\4c370d81,br BRA,FWMF,26,29,1655,18,101,828,831,175,1627,56,81,69.1,61,4,1304,5519,2877,169,58,15,75,66,1774,1330,75,324,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,19,27.4,2515,82,588,1195,854,45,2063,19,39,48.7,21,5,1571,6206,3647,168,53,5,32,18,1649,1550,94,89,Matches
Fabinho\7f3b388c,br BRA,MF,24,22.4,1864,55,388,1276,316,21,1830,13,16,81.3,15,2,1256,5784,3078,150,27,3,11,17,1389,1346,96.9,28,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,28,22.1,1981,37,326,1357,397,33,1912,8,17,47.1,12,5,1423,5878,2561,104,30,3,19,14,1556,1477,94.9,65,Matches
James Milner\2f90f6b8,eng ENG,MFDF,32,19.9,1847,31,333,965,624,53,1613,15,18,83.3,15,0,1224,4862,2604,134,36,6,24,17,1380,1258,91.2,71,Matches
Joël Matip\b217ef29,cm CMR,DF,26,17.1,1506,105,717,838,69,19,1480,5,6,83.3,5,0,989,5687,3871,114,25,2,2,2,1090,1077,98.8,6,Matches
Naby Keïta\f25c8e3a,gn GUI,MFFW,23,15.4,1235,33,153,784,411,53,1227,20,37,54.1,23,5,980,5212,3220,179,60,7,30,31,1066,965,90.5,79,Matches
Joe Gomez\7a11550b,eng ENG,DF,21,11.8,945,70,422,533,54,7,888,2,4,50,3,1,650,3025,1444,21,3,0,3,5,655,639,97.6,8,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,26,11.8,827,9,74,439,368,33,772,5,15,33.3,6,1,592,2941,1157,63,24,5,22,17,723,629,87,82,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,29,11,930,83,508,461,18,7,910,0,0,,0,0,610,2991,1599,34,3,0,2,2,671,653,97.3,0,Matches
Adam Lallana\99813635,eng ENG,MFFW,30,5.2,388,3,39,185,182,30,377,7,11,63.6,8,0,273,1202,574,33,10,5,9,11,363,284,78.2,53,Matches
Daniel Sturridge\1b7ec703,eng ENG,FWMF,28,5.7,269,2,12,148,128,24,268,7,10,70,7,0,206,879,422,27,11,3,13,14,335,220,65.7,59,Matches
Divock Origi\43a166b4,be BEL,FW,23,4.1,177,2,19,76,99,25,174,7,14,50,8,0,133,762,456,28,5,9,12,11,185,126,68.1,28,Matches
Alberto Moreno\11b9265b,es ESP,DF,26,1.7,138,1,35,70,39,3,125,2,4,50,2,0,98,399,214,7,1,0,2,1,106,95,89.6,7,Matches
Nathaniel Clyne\0442183b,eng ENG,DF,27,1.2,109,0,19,62,34,3,84,0,1,0,0,0,61,228,104,7,2,0,0,3,65,60,92.3,7,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,24,0.2,19,0,1,14,5,1,19,1,1,100,1,0,16,82,40,3,1,0,2,0,19,16,84.2,3,Matches
Rafael Camacho\91b43c98,pt POR,DF,18,0,1,1,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches
Squad Total,,,26.1,38,29685,2092,7922,15426,8152,1272,27828,377,629,59.9,413,47,20837,95879,52415,2246,640,200,536,509,24324,21171,87,1970,
Opponent Total,,,26.9,38,20346,2927,8161,9021,4253,627,18648,322,570,56.5,365,22,12012,56904,29888,1089,327,117,444,415,14385,11650,81,955,
