Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,26,38,3383,89,98.9,37.6,38,89,35,0,,0,1.82,65,42,+23,+0.61,-6.69,70.8,45.3,+25.6,+0.68,-3.47,Matches
Mohamed Salah\e342ad68,eg EGY,FW,28,37,3078,83,90,34.2,34,88,27,3,29,0,1.78,59,41,+18,+0.53,-1.58,64.7,40.9,+23.8,+0.70,-0.23,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,21,36,3031,84,88.6,33.7,34,88,30,2,19,0,1.81,60,40,+20,+0.59,-0.79,65.3,40.4,+24.9,+0.74,+0.20,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,29,38,2941,77,86,32.7,34,85,24,4,11,0,1.82,58,39,+19,+0.58,-0.73,63.6,41.2,+22.3,+0.68,-0.25,Matches
Alisson\7a2e46a8,br BRA,GK,27,33,2970,90,86.8,33,33,90,33,0,,0,1.88,58,32,+26,+0.79,+0.79,63.9,37.9,+26.0,+0.79,+0.53,Matches
Roberto Firmino\4c370d81,br BRA,FW,28,36,2838,79,83,31.5,33,84,16,3,23,0,1.83,57,39,+18,+0.57,-0.67,61.2,38.9,+22.3,+0.71,-0.07,Matches
Sadio Mané\c691bfe2,sn SEN,FW,28,35,2810,80,82.2,31.2,31,88,25,4,22,0,1.89,54,28,+26,+0.83,+0.83,61.2,33.5,+27.7,+0.89,+0.95,Matches
Fabinho\7f3b388c,br BRA,DFMF,26,30,2567,86,75.1,28.5,28,90,27,2,24,0,1.87,53,29,+24,+0.84,+0.63,55.8,34.7,+21.1,+0.74,+0.08,Matches
Thiago Alcántara\77e84962,es ESP,MF,29,24,1854,77,54.2,20.6,20,85,13,4,40,1,1.71,34,18,+16,+0.78,+0.20,40.5,23.2,+17.3,+0.84,+0.27,Matches
Jordan Henderson\935e6b8f,eng ENG,MFDF,30,21,1704,81,49.8,18.9,20,83,16,1,45,2,1.62,34,24,+10,+0.53,-0.31,30.7,20.6,+10.1,+0.53,-0.37,Matches
Nathaniel Phillips\515ebe8d,eng ENG,DF,23,17,1456,86,42.6,16.2,15,90,15,2,53,13,2.24,29,11,+18,+1.11,+0.75,29.2,15.5,+13.7,+0.85,+0.22,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,19,24,1179,49,34.5,13.1,13,75,4,11,18,12,1.75,23,13,+10,+0.76,+0.12,24.2,15.5,+8.7,+0.66,-0.08,Matches
Diogo Jota\178ae8f8,pt POR,FW,23,19,1112,59,32.5,12.4,12,82,5,7,18,0,2,24,15,+9,+0.73,+0.07,25.5,18.2,+7.3,+0.59,-0.19,Matches
James Milner\2f90f6b8,eng ENG,MFDF,34,26,1070,41,31.3,11.9,11,76,6,15,16,4,1.73,16,10,+6,+0.50,-0.26,20.3,14.8,+5.5,+0.46,-0.38,Matches
Ozan Kabak\2d61d13a,tr TUR,DF,20,9,801,89,23.4,8.9,9,89,7,0,,1,1.56,10,9,+1,+0.11,-0.75,15.4,10.8,+4.6,+0.51,-0.27,Matches
Joël Matip\b217ef29,cm CMR,DF,28,10,691,69,20.2,7.7,9,77,6,1,2,0,1.9,19,5,+14,+1.82,+1.43,16,7.2,+8.8,+1.15,+0.54,Matches
Rhys Williams\012c975a,eng ENG,DF,19,9,661,73,19.3,7.3,7,89,6,2,19,16,2.44,14,6,+8,+1.09,+0.50,14.7,8.3,+6.4,+0.87,+0.19,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,25,10,520,52,15.2,5.8,7,68,2,3,15,8,2.4,17,8,+9,+1.56,+1.03,12.1,6.2,+5.9,+1.03,+0.36,Matches
Joe Gomez\7a11550b,eng ENG,DF,23,7,590,84,17.3,6.6,6,85,5,1,80,0,2,15,14,+1,+0.15,-0.64,15.5,9.1,+6.4,+0.98,+0.32,Matches
Xherdan Shaqiri\6421ec64,ch SUI,MFFW,28,14,556,40,16.3,6.2,5,76,1,9,20,13,1.07,5,7,-2,-0.32,-1.2,9.4,7.7,+1.7,+0.27,-0.54,Matches
Virgil van Dijk\e06683ca,nl NED,DF,29,5,370,74,10.8,4.1,5,74,4,0,,0,2,12,11,+1,+0.24,-0.49,11.3,6.7,+4.6,+1.11,+0.44,Matches
Adrián\f76e6b4e,es ESP,GK,33,3,270,90,7.9,3,3,90,3,0,,27,1.33,6,9,-3,-1,-1.83,6.8,5.8,+1.0,+0.33,-0.42,Matches
Neco Williams\dd323728,wls WAL,DF,19,6,249,42,7.3,2.8,3,62,0,3,21,25,1.83,5,1,+4,+1.45,+0.82,5.3,3.7,+1.6,+0.59,-0.14,Matches
Takumi Minamino\f833a830,jp JPN,MFFW,25,9,293,33,8.6,3.3,2,90,2,7,16,11,1.89,10,4,+6,+1.84,+1.27,6.2,5.4,+0.8,+0.24,-0.53,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,FWMF,26,13,253,19,7.4,2.8,2,56,0,11,13,12,1.54,5,6,-1,-0.36,-1.12,4,3.6,+0.3,+0.11,-0.65,Matches
Divock Origi\43a166b4,be BEL,FW,25,9,186,21,5.4,2.1,2,68,0,7,7,17,1.33,2,0,+2,+0.97,+0.30,3.1,1.5,+1.6,+0.78,+0.07,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,21,2,180,90,5.3,2,2,90,2,0,,13,1.5,4,1,+3,+1.50,+0.86,1.9,1.6,+0.3,+0.14,-0.61,Matches
Kostas Tsimikas\f315ca93,gr GRE,DFFW,24,2,7,4,0.2,0.1,0,,0,2,4,20,1.5,0,0,0,0,-0.69,0,0,0,0,-0.72,Matches
