Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,26,38,38,3383,37.6,1,7,1,0,0,2,0,0.03,0.19,0.21,0.03,0.21,1.4,1.4,6.9,8.2,0.04,0.18,0.22,0.04,0.22,Matches
Mohamed Salah\e342ad68,eg EGY,FW,28,37,34,3078,34.2,22,5,16,6,6,0,0,0.64,0.15,0.79,0.47,0.61,20.9,16.4,6.3,22.6,0.61,0.18,0.79,0.48,0.66,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,21,36,34,3031,33.7,2,7,2,0,0,2,0,0.06,0.21,0.27,0.06,0.27,2.8,2.8,8.1,10.8,0.08,0.24,0.32,0.08,0.32,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,29,38,34,2941,32.7,2,0,2,0,0,1,0,0.06,0,0.06,0.06,0.06,3.2,3.2,1.7,4.9,0.1,0.05,0.15,0.1,0.15,Matches
Alisson\7a2e46a8,br BRA,GK,27,33,33,2970,33,1,0,1,0,0,1,0,0.03,0,0.03,0.03,0.03,0.1,0.1,0,0.1,0,0,0,0,0,Matches
Roberto Firmino\4c370d81,br BRA,FW,28,36,33,2838,31.5,9,7,9,0,0,2,0,0.29,0.22,0.51,0.29,0.51,12.6,12.6,6.4,19,0.4,0.2,0.6,0.4,0.6,Matches
Sadio Mané\c691bfe2,sn SEN,FW,28,35,31,2810,31.2,11,7,11,0,0,3,0,0.35,0.22,0.58,0.35,0.58,15.2,15.2,5.7,20.9,0.49,0.18,0.67,0.49,0.67,Matches
Fabinho\7f3b388c,br BRA,DFMF,26,30,28,2567,28.5,0,0,0,0,0,6,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0.02,0.01,0.03,0.02,0.03,Matches
Thiago Alcántara\77e84962,es ESP,MF,29,24,20,1854,20.6,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,1.4,1.4,2.3,3.7,0.07,0.11,0.18,0.07,0.18,Matches
Jordan Henderson\935e6b8f,eng ENG,MFDF,30,21,20,1704,18.9,1,1,1,0,0,0,0,0.05,0.05,0.11,0.05,0.11,1.7,1.7,1.4,3,0.09,0.07,0.16,0.09,0.16,Matches
Nathaniel Phillips\515ebe8d,eng ENG,DF,23,17,15,1456,16.2,1,1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,1.1,1.1,0.4,1.5,0.07,0.02,0.09,0.07,0.09,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,19,24,13,1179,13.1,1,2,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,1.4,1.4,1.6,3,0.11,0.12,0.23,0.11,0.23,Matches
Diogo Jota\178ae8f8,pt POR,FW,23,19,12,1112,12.4,9,0,9,0,0,2,0,0.73,0,0.73,0.73,0.73,6.6,6.6,1.6,8.2,0.53,0.13,0.66,0.53,0.66,Matches
James Milner\2f90f6b8,eng ENG,MFDF,34,26,11,1070,11.9,0,1,0,0,0,3,0,0,0.08,0.08,0,0.08,0.4,0.4,1.2,1.7,0.04,0.1,0.14,0.04,0.14,Matches
Ozan Kabak\2d61d13a,tr TUR,DF,20,9,9,801,8.9,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches
Joël Matip\b217ef29,cm CMR,DF,28,10,9,691,7.7,1,2,1,0,0,2,0,0.13,0.26,0.39,0.13,0.39,0.6,0.6,1,1.7,0.08,0.14,0.22,0.08,0.22,Matches
Rhys Williams\012c975a,eng ENG,DF,19,9,7,661,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,0.07,0.05,0.13,0.07,0.13,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,25,10,7,520,5.8,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.8,1.3,0.09,0.14,0.23,0.09,0.23,Matches
Joe Gomez\7a11550b,eng ENG,DF,23,7,6,590,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Xherdan Shaqiri\6421ec64,ch SUI,MFFW,28,14,5,556,6.2,0,2,0,0,0,2,0,0,0.32,0.32,0,0.32,0.4,0.4,3,3.4,0.06,0.49,0.55,0.06,0.55,Matches
Virgil van Dijk\e06683ca,nl NED,DF,29,5,5,370,4.1,1,0,1,0,0,1,0,0.24,0,0.24,0.24,0.24,0.3,0.3,0,0.3,0.08,0,0.08,0.08,0.08,Matches
Adrián\f76e6b4e,es ESP,GK,33,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Neco Williams\dd323728,wls WAL,DF,19,6,3,249,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.03,0.1,0.13,0.03,0.13,Matches
Takumi Minamino\f833a830,jp JPN,MFFW,25,9,2,293,3.3,1,0,1,0,0,0,0,0.31,0,0.31,0.31,0.31,0.7,0.7,0,0.7,0.2,0,0.2,0.2,0.2,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,FWMF,26,13,2,253,2.8,1,1,1,0,0,0,0,0.36,0.36,0.71,0.36,0.71,0.4,0.4,0.2,0.6,0.13,0.08,0.21,0.13,0.21,Matches
Divock Origi\43a166b4,be BEL,FW,25,9,2,186,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1.2,0.47,0.11,0.58,0.47,0.58,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,21,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kostas Tsimikas\f315ca93,gr GRE,DFFW,24,2,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jake Cain\a33ce8e2,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Leighton Clarkson\d5dafedb,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ben Davies\c9009a1f,eng ENG,DF,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Liam Hughes\54ae11f8,nir NIR,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Billy Koumetio\866c67e9,fr FRA,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jakub Ojrzynski\94e5390a,pl POL,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ben Woodburn\8aadeaef,wls WAL,FWMF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.8,38,418,3420,38,65,43,59,6,6,40,0,1.71,1.13,2.84,1.55,2.68,72.6,68.1,50,118.1,1.91,1.32,3.23,1.79,3.11,
Opponent Total,,,26.6,38,418,3420,38,42,29,38,4,8,56,2,1.11,0.76,1.87,1,1.76,45.3,39.3,29.7,69.1,1.19,0.78,1.97,1.04,1.82,
