Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,26,37.6,1,19,5,26.3,0.51,0.13,0.05,0.2,17.3,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches
Mohamed Salah\e342ad68,eg EGY,FW,28,34.2,22,120,46,38.3,3.51,1.35,0.13,0.35,15.8,1,6,6,20.9,16.4,0.14,+1.1,-0.4,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,21,33.7,2,56,11,19.6,1.66,0.33,0.04,0.18,23.7,16,0,0,2.8,2.8,0.05,-0.8,-0.8,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,29,32.7,2,31,9,29,0.95,0.28,0.06,0.22,16.9,1,0,0,3.2,3.2,0.1,-1.2,-1.2,Matches
Alisson\7a2e46a8,br BRA,GK,27,33,1,1,1,100,0.03,0.03,1,1,6,0,0,0,0.1,0.1,0.1,+0.9,+0.9,Matches
Roberto Firmino\4c370d81,br BRA,FW,28,31.5,9,83,32,38.6,2.63,1.01,0.11,0.28,13.8,0,0,0,12.6,12.6,0.16,-3.6,-3.6,Matches
Sadio Mané\c691bfe2,sn SEN,FW,28,31.2,11,93,35,37.6,2.98,1.12,0.12,0.31,12.8,0,0,0,15.2,15.2,0.16,-4.2,-4.2,Matches
Fabinho\7f3b388c,br BRA,DFMF,26,28.5,0,10,1,10,0.35,0.04,0,0,21.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Thiago Alcántara\77e84962,es ESP,MF,29,20.6,1,22,5,22.7,1.07,0.24,0.05,0.2,21,1,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
Jordan Henderson\935e6b8f,eng ENG,MFDF,30,18.9,1,14,4,28.6,0.74,0.21,0.07,0.25,17.6,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches
Nathaniel Phillips\515ebe8d,eng ENG,DF,23,16.2,1,13,1,7.7,0.8,0.06,0.08,1,9.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,19,13.1,1,19,8,42.1,1.45,0.61,0.05,0.13,18.7,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches
Diogo Jota\178ae8f8,pt POR,FW,23,12.4,9,46,26,56.5,3.72,2.1,0.2,0.35,13.7,0,0,0,6.6,6.6,0.14,+2.4,+2.4,Matches
James Milner\2f90f6b8,eng ENG,MFDF,34,11.9,0,12,3,25,1.01,0.25,0,0,22.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Ozan Kabak\2d61d13a,tr TUR,DF,20,8.9,0,1,0,0,0.11,0,0,,4.2,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
Joël Matip\b217ef29,cm CMR,DF,28,7.7,1,5,2,40,0.65,0.26,0.2,0.5,6.8,0,0,0,0.6,0.6,0.13,+0.4,+0.4,Matches
Rhys Williams\012c975a,eng ENG,DF,19,7.3,0,7,0,0,0.95,0,0,,8.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,25,5.8,0,9,2,22.2,1.56,0.35,0,0,19.5,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Joe Gomez\7a11550b,eng ENG,DF,23,6.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Xherdan Shaqiri\6421ec64,ch SUI,MFFW,28,6.2,0,11,0,0,1.78,0,0,,21.8,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Virgil van Dijk\e06683ca,nl NED,DF,29,4.1,1,4,2,50,0.97,0.49,0.25,0.5,13.5,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
Adrián\f76e6b4e,es ESP,GK,33,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Neco Williams\dd323728,wls WAL,DF,19,2.8,0,2,0,0,0.72,0,0,,17.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Takumi Minamino\f833a830,jp JPN,MFFW,25,3.3,1,7,3,42.9,2.15,0.92,0.14,0.33,16.4,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,FWMF,26,2.8,1,8,3,37.5,2.85,1.07,0.13,0.33,19.7,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
Divock Origi\43a166b4,be BEL,FW,25,2.1,0,7,2,28.6,3.39,0.97,0,0,18,0,0,0,1,1,0.14,-1,-1,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,21,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Kostas Tsimikas\f315ca93,gr GRE,DFFW,24,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Squad Total,,,26.8,38,65,600,201,33.5,15.79,5.29,0.1,0.29,16.2,20,6,6,72.6,68.1,0.12,-7.6,-9.1,
Opponent Total,,,26.6,38,42,324,137,42.3,8.53,3.61,0.12,0.28,16.7,12,4,8,45.3,39.3,0.12,-3.3,-1.3,
