Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Alisson\7a2e46a8,br BRA,GK,28,36,1178,1360,86.6,31704,17522,181,184,98.4,655,662,98.9,338,510,66.3,1,0.4,+0.6,2,13,0,0,0,Matches
Virgil van Dijk\e06683ca,nl NED,DF,30,34,2287,2520,90.8,51299,16562,601,649,92.6,1233,1288,95.7,442,564,78.4,1,0.4,+0.6,6,169,4,0,104,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,22,31.7,2013,2706,74.4,44509,18154,727,826,88,813,1010,80.5,451,786,57.4,12,11.2,+0.8,89,231,89,26,278,Matches
Sadio Mané\c691bfe2,sn SEN,FW,29,31.3,819,1091,75.1,13609,2896,424,510,83.1,291,390,74.6,83,109,76.1,2,4.4,-2.4,36,59,54,6,103,Matches
Joël Matip\b217ef29,cm CMR,DF,29,31,2015,2238,90,43619,12745,528,584,90.4,1097,1172,93.6,379,457,82.9,3,1.2,+1.8,11,196,13,0,157,Matches
Mohamed Salah\e342ad68,eg EGY,FW,29,30.7,869,1118,77.7,12439,3620,550,633,86.9,256,332,77.1,39,74,52.7,13,10.4,+2.6,61,35,61,8,123,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,31,28.9,1846,2202,83.8,35046,8229,760,839,90.6,811,930,87.2,243,348,69.8,5,3.8,+1.2,38,187,53,13,176,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,27,28.2,1859,2294,81,33724,11980,846,923,91.7,821,955,86,183,356,51.4,10,5.2,+4.8,55,139,49,14,198,Matches
Diogo Jota\178ae8f8,pt POR,FW,24,26.3,568,771,73.7,9120,2092,284,357,79.6,225,280,80.4,40,69,58,4,5.5,-1.5,37,50,31,2,71,Matches
Fabinho\7f3b388c,br BRA,MF,27,25.7,1341,1522,88.1,24540,5539,552,611,90.3,630,686,91.8,137,180,76.1,1,1.4,-0.4,15,145,16,1,107,Matches
Thiago Alcántara\77e84962,es ESP,MF,30,17,1325,1479,89.6,28007,7322,455,492,92.5,611,657,93,248,300,82.7,4,2.3,+1.7,28,199,22,1,175,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,26,13,651,759,85.8,10374,2763,331,364,90.9,256,290,88.3,40,57,70.2,1,1.6,-0.6,16,61,22,0,78,Matches
Ibrahima Konaté\5ed9b537,fr FRA,DF,22,11,655,728,90,13686,4843,171,186,91.9,386,407,94.8,91,120,75.8,0,0.1,-0.1,1,50,5,0,48,Matches
Luis Díaz\4a1a9578,co COL,FW,24,10.6,394,448,87.9,6196,1292,223,245,91,132,150,88,31,35,88.6,3,1.8,+1.2,16,18,22,3,41,Matches
Roberto Firmino\4c370d81,br BRA,FW,29,11,393,501,78.4,5872,1288,223,252,88.5,129,170,75.9,21,29,72.4,4,2.4,+1.6,18,27,11,1,35,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,20,9.5,534,591,90.4,9150,1854,264,277,95.3,215,231,93.1,50,68,73.5,1,0.6,+0.4,9,45,10,0,35,Matches
Kostas Tsimikas\f315ca93,gr GRE,DF,25,9.7,512,698,73.4,9298,3200,226,253,89.3,224,278,80.6,57,131,43.5,2,2.6,-0.6,26,25,14,9,45,Matches
James Milner\2f90f6b8,eng ENG,MFDF,35,9.5,623,749,83.2,12231,3712,243,275,88.4,276,312,88.5,95,139,68.3,1,2.2,-1.2,20,74,20,2,75,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,27,8.7,318,403,78.9,6344,1474,125,149,83.9,130,152,85.5,55,80,68.8,1,0.9,+0.1,9,40,16,3,45,Matches
Harvey Elliott\c8387671,eng ENG,MF,18,3.8,210,249,84.3,3611,958,107,119,89.9,83,95,87.4,19,25,76,0,0.5,-0.5,8,24,9,2,34,Matches
Joe Gomez\7a11550b,eng ENG,DF,24,3.7,228,286,79.7,4481,1280,86,98,87.8,105,132,79.5,33,49,67.3,1,0.5,+0.5,3,22,4,2,28,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,22,2,81,90,90,1869,742,17,17,100,50,50,100,14,23,60.9,0,0,0,0,0,0,0,0,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,26,2.1,63,75,84,848,181,38,44,86.4,19,20,95,2,7,28.6,0,0.5,-0.5,2,5,2,0,6,Matches
Tyler Morton\2bc28bb9,eng ENG,MF,18,0.7,32,37,86.5,586,122,14,15,93.3,14,15,93.3,4,6,66.7,0,0,0,0,8,0,0,3,Matches
Divock Origi\43a166b4,be BEL,FW,26,1.5,30,37,81.1,374,75,19,25,76,6,6,100,1,1,100,0,0,0,0,2,1,0,2,Matches
Kaide Gordon\19a9cb70,eng ENG,FW,16,0.1,4,4,100,50,0,2,2,100,0,0,,1,1,100,0,0,0,0,0,0,0,0,Matches
Neco Williams\dd323728,wls WAL,DF,20,0.1,8,8,100,153,32,1,1,100,5,5,100,1,1,100,1,0.6,+0.4,1,0,0,0,0,Matches
Squad Total,,,27.7,38,20856,24964,83.5,412739,130477,7998,8930,89.6,9473,10675,88.7,3098,4525,68.5,71,60.1,+10.9,507,1824,528,93,1967,
Opponent Total,,,26.7,38,10885,14783,73.6,216716,79287,4614,5392,85.6,4311,5298,81.4,1723,3459,49.8,18,27.6,-9.6,228,724,193,52,777,
