Column Name,Description
Season,Year where the data belongs to
Player,Name of the player
Nation,Nationality of the player
Pos,Position of the player
Age,Age at the season start for league play
90s,Minutes played divided by 90
Tkl,Number of players tackled
TklW,Tackles in which the tackler's team won possession of the ball
Def 3rd,Tackles in defensive 1/3
Mid 3rd,Tackles in middle 1/3
Att 3rd,Tackles in attacking 1/3
Drb_Tkl,Number of dribblers tackled
Att,Number of times dribbled past plus number of tackles
Tkl%,Percentage of dribblers tackled
Past,Number of times dribbled past by an opposing player
Press,"Number of times applying pressure to opposing player who is receiving, carrying or releasing the ball"
Succ,Number of times the squad gained possession withing five seconds of applying pressure
Press%,Percentage of time the squad gained possession withing five seconds of applying pressure
Press Def 3rd,"umber of times applying pressure to opposing player who is receiving, carrying or releasing the ball, in the defensive 1/3"
Press Mid 3rd,"Number of times applying pressure to opposing player who is receiving, carrying or releasing the ball, in the middle 1/3"
Press Att 3rd,"Number of times applying pressure to opposing player who is receiving, carrying or releasing the ball, in the attacking 1/3"
Blocks,Number of times blocking the ball by standing in its path
Sh,Number of times blocking a shot by standing in its path
ShSv,"Number of times blocking a shot that was on target, by standing in its path"
Pass,Number of times blocking a pass by standing in its path
Int,Interceptions
Tkl+Int,Number of players tackled plus number of interceptions
Clr,Clearances
Err,Mistakes leading to an opponent's shot
